datetime,Close,Open,High,Low,Volume,Change
2022/11/7,4.67,4.6,4.71,4.58,303.30M,4.24%
2022/11/4,4.48,4.35,4.5,4.33,204.79M,3.46%
2022/11/3,4.33,4.35,4.36,4.29,113.55M,-1.14%
2022/11/2,4.38,4.31,4.42,4.28,173.47M,1.62%
2022/11/1,4.31,4.24,4.31,4.21,137.19M,3.86%
2022/10/31,4.15,4.12,4.2,4.08,79.78M,-0.48%
2022/10/28,4.17,4.29,4.29,4.15,104.02M,-2.80%
2022/10/27,4.29,4.26,4.35,4.25,136.79M,1.42%
2022/10/26,4.23,4.2,4.26,4.18,94.58M,0.24%
2022/10/25,4.22,4.15,4.26,4.05,134.33M,1.69%
2022/10/24,4.15,4.29,4.33,4.14,162.09M,-2.58%
2022/10/21,4.26,4.29,4.31,4.25,79.25M,-0.23%
2022/10/20,4.27,4.26,4.33,4.21,106.34M,-0.70%
2022/10/19,4.3,4.37,4.39,4.29,144.45M,-1.83%
2022/10/18,4.38,4.42,4.44,4.36,122.62M,-0.68%
2022/10/17,4.41,4.39,4.42,4.33,182.92M,-1.12%
2022/10/14,4.46,4.37,4.48,4.34,254.06M,3.24%
2022/10/13,4.32,4.35,4.4,4.3,189.51M,-2.26%
2022/10/12,4.42,4.5,4.52,4.18,365.01M,-3.07%
2022/10/11,4.56,4.54,4.64,4.5,81.78M,1.11%
2022/10/10,4.51,4.72,4.75,4.45,138.13M,-4.45%
2022/9/30,4.72,4.72,4.85,4.69,110.03M,0.00%
2022/9/29,4.72,4.65,4.79,4.63,127.26M,3.74%
2022/9/28,4.55,4.73,4.73,4.55,79.16M,-4.21%
2022/9/27,4.75,4.71,4.75,4.63,71.86M,1.28%
2022/9/26,4.69,4.8,4.83,4.68,88.90M,-3.10%
2022/9/23,4.84,4.9,4.91,4.81,67.43M,-1.02%
2022/9/22,4.89,4.85,4.94,4.85,59.46M,-0.20%
2022/9/21,4.9,4.89,4.92,4.83,55.49M,0.00%
2022/9/20,4.9,4.79,4.97,4.78,76.62M,2.51%
2022/9/19,4.78,4.86,4.88,4.74,69.66M,-1.44%
2022/9/16,4.85,5.02,5.03,4.85,114.68M,-3.19%
2022/9/15,5.01,5.13,5.18,4.95,114.22M,-2.15%
2022/9/14,5.12,5.14,5.19,5.09,90.49M,-1.92%
2022/9/13,5.22,5.23,5.28,5.2,121.84M,0.77%
2022/9/9,5.18,5.14,5.24,5.11,96.70M,1.37%
2022/9/8,5.11,5.11,5.15,5.08,75.68M,-0.20%
2022/9/7,5.12,5.03,5.13,5.02,89.65M,1.39%
2022/9/6,5.05,4.96,5.06,4.95,92.37M,2.02%
2022/9/5,4.95,4.9,4.95,4.86,72.07M,1.02%
2022/9/2,4.9,4.94,4.96,4.88,74.68M,-0.61%
2022/9/1,4.93,4.92,4.98,4.88,70.02M,0.20%
2022/8/31,4.92,5.06,5.07,4.9,163.39M,-3.34%
2022/8/30,5.09,5.15,5.15,5.06,90.30M,-0.97%
2022/8/29,5.14,5.11,5.15,5.05,86.28M,-0.96%
2022/8/26,5.19,5.22,5.27,5.18,94.17M,-0.57%
2022/8/25,5.22,5.15,5.23,5.11,112.99M,1.36%
2022/8/24,5.15,5.33,5.4,5.13,205.25M,-3.38%
2022/8/23,5.33,5.35,5.41,5.3,103.08M,-0.56%
2022/8/22,5.36,5.27,5.36,5.25,137.58M,2.29%
2022/8/19,5.24,5.23,5.28,5.23,98.87M,-0.38%
2022/8/18,5.26,5.26,5.31,5.21,118.08M,-1.13%
